"path","git_status","classification","slice","rationale"
".tmp-current-ios/entrypoint.sh","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-ios/ios-entrypoint","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-ios/ios-register-device","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-ios/runtime-manifest.json","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-macos.tar.gz","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-macos/boot.js","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-macos/cashpilot-doh.js","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-macos/cashpilot-proxy-entrypoint","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-macos/Dockerfile","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-macos/earn-supervisor","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-macos/entrypoint.sh","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-current-macos/runtime-manifest.json","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-currentconfig.json","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-debug-config.json","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-deploy-body.json","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-deploy-pawns.sh","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-dns006.json","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-dns007.json","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-earnapp-ubuntu-context-20260919/cashpilot-doh.js","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-earnapp-ubuntu-context-20260919/cashpilot-proxy-entrypoint","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-earnapp-ubuntu-context-20260919/Dockerfile","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-earnapp-ubuntu-context-20260919/entrypoint.sh","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-earnapp-ubuntu-context-20260919/runtime-manifest.json","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-earnfm-disposable.json","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-mac-wrapper","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-maininspect.json","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-pawns-disposable.sh","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-proxies-sx-reference-sdk.js","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-proxy-canary-context-final.tar.gz","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-proxy-canary-context-final2.tar.gz","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-proxy-canary-context-next.tar.gz","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-proxy-canary-context.tar.gz","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-proxy-canary-context/Dockerfile","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-proxy-canary-context/orchestrator.py","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-proxy-canary-context/provider_runtime.py","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-proxy-canary-context/singbox_config.py","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-proxy-canary.Dockerfile","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-reference-current-20260921.js","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-reference-live.js","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-server-topology.Dockerfile","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-sideinspect.json","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-ubuntu-wrapper","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-ui-1.53.24.override.yml","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-worker-1.53.26.override.yml","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-worker-118904-1.53.21.override.yml","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-worker-source-20260920.tar","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-worker-source-current-20260920.tar","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-worker-source-current-20260920d.tar","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-worker-source-dns-20260920.tar","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-worker-source-proxies-sx-20260920.tar.gz","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-worker-source-proxy-dns9-new.tar","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
".tmp-worker-traffmonetizer-native-20260921.override.yml","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
"app/collectors/proxies_sx.py","M","REVIEW_REQUIRED","6","Collector, payment, or account-pool behavior."
"app/database.py","M","REVIEW_REQUIRED","1","DB schema, CAS, authority, and lease changes."
"app/earnapp_canary.py","M","REVIEW_REQUIRED","2","EarnApp account, token, link, lifecycle, recovery, or runtime behavior."
"app/earnapp_collection.py","M","REVIEW_REQUIRED","2","EarnApp account, token, link, lifecycle, recovery, or runtime behavior."
"app/earnapp_fault_injection.py","A","REVIEW_REQUIRED","2","EarnApp account, token, link, lifecycle, recovery, or runtime behavior."
"app/earnapp_lifecycle.py","M","REVIEW_REQUIRED","2","EarnApp account, token, link, lifecycle, recovery, or runtime behavior."
"app/earnapp_runtime.py","M","REVIEW_REQUIRED","2","EarnApp account, token, link, lifecycle, recovery, or runtime behavior."
"app/earnapp_staged_recovery.py","A","REVIEW_REQUIRED","2","EarnApp account, token, link, lifecycle, recovery, or runtime behavior."
"app/main.py","M","REVIEW_REQUIRED","7","API/UI wiring and control-plane orchestration."
"app/orchestrator.py","M","REVIEW_REQUIRED","5","Provider catalog, runtime command, image, or entrypoint behavior."
"app/provider_modes.py","M","REVIEW_REQUIRED","4","Provider topology and allocator policy."
"app/provider_network_audit.py","M","REVIEW_REQUIRED","3","Proxy transport, DNS/firewall, health, or watchdog behavior."
"app/provider_runtime.py","M","REVIEW_REQUIRED","5","Provider catalog, runtime command, image, or entrypoint behavior."
"app/provider_topology.py","M","REVIEW_REQUIRED","4","Provider topology and allocator policy."
"app/proxy_health.py","A","REVIEW_REQUIRED","3","Proxy transport, DNS/firewall, health, or watchdog behavior."
"app/proxy_probe_profiles/earnfm.py","A","REVIEW_REQUIRED","9","Unclassified durable candidate requiring explicit review."
"app/proxy_runtime.py","A","REVIEW_REQUIRED","3","Proxy transport, DNS/firewall, health, or watchdog behavior."
"app/routers/proxies.py","M","REVIEW_REQUIRED","7","API/UI wiring and control-plane orchestration."
"app/singbox_config.py","M","REVIEW_REQUIRED","3","Proxy transport, DNS/firewall, health, or watchdog behavior."
"app/static/js/app.js","M","REVIEW_REQUIRED","7","API/UI wiring and control-plane orchestration."
"app/worker_api.py","M","REVIEW_REQUIRED","8","Worker authentication/runtime, release dependency, or Azure bootstrap."
"azure_create/worker-startup.sh","?","REVIEW_REQUIRED","8","Worker authentication/runtime, release dependency, or Azure bootstrap."
"docs/evidence/azure-egress-probe-2026-09-19.json","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/azure-health-authority-2026-09-16.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/azure-proxy-transport-policy-audit-2026-09-19.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/azure-runtime-inventory-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/azure-startup-contract-check-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/cdp-2026-09-17/cashpilot-after-worker-id-bug.png","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/chrome-profile40-bridge-check-2026-09-16.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/chrome-profile40-cdp-audit-2026-09-17.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/consolidation-phase-0-1-2026-09-21.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/earnapp-disposable-rotation-2026-09-19.md","A","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/earnfm-node001-dns-root-cause-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/earnfm-proxy-root-cause-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/earnfm-untracked-runtime-2026-09-21.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/fake-proxy-contract-rollout-2026-09-20.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/fake-proxy-provider-matrix-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/fake-proxy-standardization-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/fleet-ui-cdp-audit-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/full-audit-sweep-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/ghcr-parity-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/goal-completion-audit-2026-09-21.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/live-proxy-egress-audit-2026-09-18-v2.json","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/live-proxy-egress-audit-2026-09-18-v3.json","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/live-proxy-egress-audit-2026-09-18-v4.json","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/live-proxy-egress-audit-2026-09-18.json","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/live-proxy-egress-audit-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/live-proxy-egress-audit-2026-09-21.json","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/myst-secondary-ip-audit-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/network-provider-matrix-2026-09-16.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/pawns-dashboard-2026-09-17.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/pawns-disposable-canary-2026-09-21.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/pawns-runtime-log-audit-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/production-baseline-2026-09-16.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/production-gate-status-2026-09-16.md","M","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/production-requirement-matrix-2026-09-16.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/provider-backend-migration-audit-20260921.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/provider-dashboard-screenshots-2026-09-16.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/provider-dashboard-vs-azure-audit-2026-09-16.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/provider-image-capability-matrix-20260921.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/provider-plan-audit-2026-09-21.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxies-sx-active-egress-probe-2026-09-21.json","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxies-sx-dashboard-cdp-2026-09-18-followup.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxies-sx-dashboard-cdp-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxies-sx-egress-bypass-audit-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxies-sx-gateway-trace-blocker-20260921.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxies-sx-packet-capture-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxies-sx-reference-sdk-2026-09-21.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxies-sx-sdk-forwarding-audit-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxies-sx-worker-relay-audit-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxy-canary-gates-2026-09-20.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxy-group-canary-2026-09-20.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxy-runtime-contract-2026-09-19.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxybase-dashboard-cdp-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxybase-direct-control-plane-audit-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxyrack-admission-trace-20260921.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxyrack-collector-probe-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxyrack-dashboard-cdp-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxyrack-dashboard-reconciliation-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxyrack-globe-check-2026-09-17.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/proxyrack-globe-check-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/repocket-collector-auth-boundary-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/repocket-collector-contract-audit-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/repocket-collector-probe-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/repocket-dashboard-cdp-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/security-audit-2026-09-16.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/security-hygiene-sweep-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/spide-dashboard-cdp-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/spide-dashboard-session-status-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/traffmonetizer-proxy-runtime-readonly-20260921.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/evidence/traffmonetizer-runtime-audit-2026-09-18.md","?","ARCHIVE_EVIDENCE","","Historical or live evidence; retain externally until sanitized/deduplicated."
"docs/guides/proxies-sx.md","M","KEEP_DOC_CURRENT","","Current provider guide candidate; verify against reviewed runtime behavior."
"docs/superpowers/plans/2026-09-16-production-ready-fleet-closeout.md","?","ARCHIVE_EVIDENCE","","Historical implementation plan, not current production documentation."
"docs/superpowers/plans/2026-09-18-fake-proxy-standardization.md","?","ARCHIVE_EVIDENCE","","Historical implementation plan, not current production documentation."
"docs/superpowers/plans/2026-09-19-earnapp-style-proxy-goal.md","A","ARCHIVE_EVIDENCE","","Historical implementation plan, not current production documentation."
"docs/superpowers/plans/2026-09-21-canonical-repo-consolidation.md","?","KEEP_DOC_CURRENT","","Active consolidation plan and phase authority."
"entrypoint.sh","M","REVIEW_REQUIRED","5","Provider catalog, runtime command, image, or entrypoint behavior."
"services/bandwidth/earnapp.yml","M","REVIEW_REQUIRED","2","EarnApp account, token, link, lifecycle, recovery, or runtime behavior."
"services/bandwidth/proxies-sx.yml","M","REVIEW_REQUIRED","5","Provider catalog, runtime command, image, or entrypoint behavior."
"tests/test_auto_deploy_policy.py","M","KEEP_TEST","4","Behavioral test candidate; review with owning production slice."
"tests/test_azure_worker_startup.py","A","KEEP_TEST","8","Behavioral test candidate; review with owning production slice."
"tests/test_catalog.py","M","KEEP_TEST","5","Behavioral test candidate; review with owning production slice."
"tests/test_earnapp_account_operation_queue.py","A","KEEP_TEST","2","Behavioral test candidate; review with owning production slice."
"tests/test_earnapp_account_pool.py","M","KEEP_TEST","2","Behavioral test candidate; review with owning production slice."
"tests/test_earnapp_account_routes.py","M","KEEP_TEST","2","Behavioral test candidate; review with owning production slice."
"tests/test_earnapp_auto_deploy.py","M","KEEP_TEST","2","Behavioral test candidate; review with owning production slice."
"tests/test_earnapp_canary_contract.py","M","KEEP_TEST","2","Behavioral test candidate; review with owning production slice."
"tests/test_earnapp_lifecycle.py","M","KEEP_TEST","2","Behavioral test candidate; review with owning production slice."
"tests/test_earnapp_node_health.py","M","KEEP_TEST","2","Behavioral test candidate; review with owning production slice."
"tests/test_earnapp_paypal_pool.py","M","KEEP_TEST","2","Behavioral test candidate; review with owning production slice."
"tests/test_earnapp_policy_matrix.py","M","KEEP_TEST","2","Behavioral test candidate; review with owning production slice."
"tests/test_earnapp_settings_ui.py","M","KEEP_TEST","2","Behavioral test candidate; review with owning production slice."
"tests/test_earnapp_staged_recovery.py","A","KEEP_TEST","2","Behavioral test candidate; review with owning production slice."
"tests/test_earnfm_proxy_probe.py","A","KEEP_TEST","9","Behavioral test candidate; review with owning production slice."
"tests/test_frontend_wiring.py","M","KEEP_TEST","7","Behavioral test candidate; review with owning production slice."
"tests/test_nkn_auto_deploy.py","M","KEEP_TEST","4","Behavioral test candidate; review with owning production slice."
"tests/test_nkn_contract_audit.py","M","KEEP_TEST","8","Behavioral test candidate; review with owning production slice."
"tests/test_provider_active_probe.py","M","KEEP_TEST","9","Behavioral test candidate; review with owning production slice."
"tests/test_provider_instances.py","M","KEEP_TEST","9","Behavioral test candidate; review with owning production slice."
"tests/test_provider_lifecycle_policy.py","M","KEEP_TEST","9","Behavioral test candidate; review with owning production slice."
"tests/test_provider_modes.py","M","KEEP_TEST","4","Behavioral test candidate; review with owning production slice."
"tests/test_provider_network_contracts.py","M","KEEP_TEST","3","Behavioral test candidate; review with owning production slice."
"tests/test_provider_network_matrix.py","A","KEEP_TEST","3","Behavioral test candidate; review with owning production slice."
"tests/test_provider_topology.py","M","KEEP_TEST","4","Behavioral test candidate; review with owning production slice."
"tests/test_proxies_sx_collector.py","M","KEEP_TEST","6","Behavioral test candidate; review with owning production slice."
"tests/test_proxies_sx_topology.py","A","KEEP_TEST","5","Behavioral test candidate; review with owning production slice."
"tests/test_proxy_egress.py","M","KEEP_TEST","3","Behavioral test candidate; review with owning production slice."
"tests/test_proxy_health.py","A","KEEP_TEST","3","Behavioral test candidate; review with owning production slice."
"tests/test_proxy_routes.py","M","KEEP_TEST","7","Behavioral test candidate; review with owning production slice."
"tests/test_proxy_runtime.py","A","KEEP_TEST","3","Behavioral test candidate; review with owning production slice."
"tests/test_proxy_sidecar_runtime.py","M","KEEP_TEST","3","Behavioral test candidate; review with owning production slice."
"tools/cdp_extract_pawns.py","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
"tools/cdp_extract_pawns2.py","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
"tools/earnfm_server_readonly.sh","?","ARCHIVE_SCRATCH","","Disposable probe, archive, override, extracted runtime, or one-off helper."
"tools/live_proxy_network_audit.py","?","REVIEW_REQUIRED","9","Durable verification/evidence tool candidate."
"tools/preload_current_earnapp_assets.py","?","REVIEW_REQUIRED","9","Durable verification/evidence tool candidate."
"uv.lock","M","REVIEW_REQUIRED","8","Worker authentication/runtime, release dependency, or Azure bootstrap."
